question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
What is the equivalent resistance of an infinite ladder network composed of identical 1 ohm resistors?,1 ohm,1.618 ohms (Golden ratio),Infinity,Zero,B,Physics,Medium
"A projectile is fired at an angle of 30 degrees. At its maximum height, its velocity is?",Zero,Entirely vertical,Entirely horizontal,Equal to its initial velocity,C,Physics,Medium
A satellite in a circular orbit speeds up. What happens to its orbital radius to maintain a circular orbit?,It decreases,It remains the same,It fluctuates,It increases,D,Physics,Medium
Which thermodynamic variable is a path function rather than a state function?,Internal energy,Temperature,Entropy,Work,D,Physics,Medium
"A Carnot engine operates between 400 K and 200 K. If it absorbs 1000 J of heat, how much work does it perform?",500 J,1000 J,200 J,0 J,A,Physics,Medium
A 20 g bullet is fired at 500 m/s into a 5 kg pendulum bob. What is the immediate velocity of the bob-bullet system?,10 m/s,2 m/s,5 m/s,25 m/s,B,Physics,Medium
"If a simple pendulum is mounted in a freely falling elevator, what is its period of oscillation?",Zero,Depends on the length,Infinite,The same as on Earth,C,Physics,Medium
A charged particle moving in a uniform magnetic field traces a helical path. What causes the pitch of the helix?,The magnetic field varying in strength,The particle's varying mass,The component of velocity parallel to the magnetic field,Electric forces,C,Physics,Medium
"What is the magnetic field inside a long, ideal solenoid carrying a current?",Zero,Varying radially,Uniform and parallel to the axis,Circular around the axis,C,Physics,Medium
An object is moving with simple harmonic motion. Where is its acceleration maximum?,At the equilibrium position,At halfway to the maximum displacement,At random intervals,At the extreme positions of displacement,D,Physics,Medium
What condition must be met for total internal reflection to occur?,Light travels from a lower to a higher refractive index,The angle of incidence is exactly 90 degrees,Light travels from a higher to a lower refractive index and the angle of incidence exceeds the critical angle,The medium is perfectly transparent,C,Physics,Medium
"In the Bohr model, the angular momentum of an electron in the nth orbit is quantized as integer multiples of?",h,h / (2pi),h * c,2pi / h,B,Physics,Medium
"A photoelectric surface has a work function of 3 eV. If 4 eV photons strike it, what is the stopping potential required?",1 V,3 V,4 V,7 V,A,Physics,Medium
"In an alpha scattering experiment, the fact that most alpha particles pass straight through gold foil indicates?",Nuclei are negatively charged,Most of the atom is empty space,Alpha particles are massless,Gold is transparent to visible light,B,Physics,Medium
"A liquid flows steadily through a horizontal tube. Where the tube narrows, what happens to the fluid pressure?",It increases,It remains constant,It decreases,It drops to zero,C,Physics,Medium
Which of the following is true for an adiabatic process?,Temperature is constant,Volume is constant,Pressure is constant,No heat is exchanged with the surroundings,D,Physics,Medium
A block rests on a rough horizontal board. The board is slowly tilted. The block slides when the angle is theta. The coefficient of static friction is?,tan(theta),sin(theta),cos(theta),cot(theta),A,Physics,Medium
"A 1 kg mass collides elastically with a stationary 100 kg mass. After the collision, the 1 kg mass will?",Stop completely,Rebound with almost its original speed,Move forward at half speed,Stick to the heavy mass,B,Physics,Medium
A wheel rotating at 10 rad/s undergoes a constant angular acceleration of 2 rad/s^2 for 5 s. What is its final angular velocity?,15 rad/s,30 rad/s,20 rad/s,25 rad/s,C,Physics,Medium
A thin lens has a power of -5 Diopters. What is its focal length and type?,"-20 cm, converging","-50 cm, diverging","-200 cm, converging","-20 cm, diverging",D,Physics,Medium
A projectile is launched from ground level with speed v at angle theta. What is its speed at the highest point?,v cos(theta),v sin(theta),v,0,A,Physics,Hard
Two blocks of masses 2m and m are connected by a light string over a frictionless pulley (Atwood machine). What is the downward acceleration of the heavier block?,g/2,g/3,2g/3,g,B,Physics,Hard
"A solid sphere, a solid cylinder, and a hollow pipe all roll down a ramp from the same height without slipping. Which has the greatest translational speed at the bottom?",Solid cylinder,Hollow pipe,Solid sphere,They all have the same speed,C,Physics,Hard
A particle of mass m moves in a 1D potential U(x) = kx^4. How does the period of oscillation depend on the amplitude A?,It is independent of A,It is proportional to A,It is proportional to 1/A,It is proportional to A^2,C,Physics,Hard
"Water flows through a hole at the bottom of a large open tank. If the water depth is h, the efflux velocity is?",sqrt(gh),2gh,gh,sqrt(2gh),D,Physics,Hard
An engine operates in a reversible cycle consisting of two isotherms and two isochores. Is this a Carnot cycle?,"Yes, perfectly","No, a Carnot cycle uses adiabats instead of isochores","No, a Carnot cycle uses isobars instead of isotherms","Yes, but only for ideal gases",B,Physics,Hard
"Three point charges +q, -q, and +q are placed at the vertices of an equilateral triangle. What is the electric potential at the center of the triangle?",Zero,kq/r,An infinitely large value,Depends on the side length and is non-zero,D,Physics,Hard
A solid conducting sphere is given a positive charge Q. How is this charge distributed?,Uniformly throughout the volume,Concentrated at the center,Uniformly on the surface,In a shell halfway to the surface,C,Physics,Hard
"In an RC circuit charging a capacitor, at what time t is the voltage across the capacitor equal to 63.2% of the battery voltage?",t = 0,t = RC / 2,t = RC,t = 2RC,C,Physics,Hard
"A long straight wire carries a current I. An electron travels with velocity v parallel to the wire, in the same direction as the current. The magnetic force on the electron is?",Zero,Directed toward the wire,Directed parallel to the wire,Directed away from the wire,D,Physics,Hard
A plane electromagnetic wave propagates in the z-direction. The electric field is in the x-direction. The magnetic field is in the?,x-direction,y-direction,z-direction,Negative x-direction,B,Physics,Hard
"In a single slit diffraction pattern, if the slit width is decreased, what happens to the width of the central maximum?",It decreases,It remains unchanged,It increases,It disappears,C,Physics,Hard
A thin film of oil (n=1.4) on water (n=1.33) appears bright in reflected yellow light (wavelength lambda). What is the minimum non-zero thickness of the oil film for constructive interference?,lambda / 4,lambda / 2n,lambda / 4n,lambda / n,C,Physics,Hard
The resolving power of a microscope depends on the numerical aperture (NA). Which formula defines the minimum resolvable distance d?,d = 1.22 * lambda / (2 * NA),d = lambda * NA,d = NA / lambda,d = 1.22 * NA / lambda,A,Physics,Hard
An electron in a hydrogen atom transitions from n=4 to n=2. This emits a photon in which spectral series?,Lyman,Paschen,Pfund,Balmer,D,Physics,Hard
A relativistic particle moves at speed v = 0.8c. What is its Lorentz factor (gamma)?,1.25,1.67,0.6,1.33,B,Physics,Hard
"If the kinetic energy of a relativistic particle is equal to its rest mass energy, its speed is?",c,0.5c,(sqrt(3)/2)c,0.866c,C,Physics,Hard
"A radioactive source consists of two isotopes A and B with half-lives T and 2T. Initially they have the same number of atoms. After time 2T, what is the ratio of remaining atoms N_A / N_B?",1/4,1/2,2,1/8,B,Physics,Hard
"In nuclear fission, the energy released per nucleon is approximately?",200 MeV,1 MeV,8 MeV,0.1 MeV,B,Physics,Hard
"A block rests on a rough rotating turntable. If the angular velocity is slowly increased, the block slips when?",Centripetal force equals gravity,Static friction equals the required centripetal force,Kinetic friction exceeds gravity,Normal force becomes zero,B,Physics,Hard
A mass is attached to two identical springs in parallel. What is the effective spring constant?,k/2,k,2k,4k,C,Physics,Hard
A pendulum consists of a solid uniform sphere of radius R on a string of length L. Its period for small oscillations is?,2pi * sqrt(L/g),2pi * sqrt((L+R)/g),2pi * sqrt((L + R + 2R^2/5(L+R))/g),2pi * sqrt(R/g),C,Physics,Hard
"A bullet embeds in a block attached to a spring, compressing it. This is a sequence of which two processes?","Elastic collision, then conservation of energy","Inelastic collision, then conservation of momentum","Inelastic collision, then conservation of mechanical energy","Conservation of momentum, then elastic collision",C,Physics,Hard
A uniform rod of mass M and length L is pivoted at one end and released from horizontal. What is its initial angular acceleration?,g/L,2g/L,3g/2L,3g/L,C,Physics,Hard
"The escape velocity from a spherical asteroid of radius R is v. If the density is the same but the radius is 2R, the escape velocity is?",v,2v,4v,sqrt(2)v,B,Physics,Hard
A gas undergoes a cyclic process on a P-V diagram that traces a clockwise circle. The net work done by the gas is?,Zero,Positive,Negative,Undefined,B,Physics,Hard
"According to the Maxwell-Boltzmann distribution, how does the most probable speed relate to the RMS speed?",It is greater than the RMS speed,It is equal to the RMS speed,It is less than the RMS speed,It is independent of temperature,C,Physics,Hard
A positively charged ring lies in the xy-plane. The electric field along the z-axis points?,In the xy-plane,Away from the center along the z-axis,Toward the center along the z-axis,In circles around the z-axis,B,Physics,Hard
Two isolated large parallel conducting plates carry charges Q1 and Q2. The charge on the innermost facing surfaces will be?,Q1 and Q2,Equal and opposite,(Q1+Q2)/2,Zero,B,Physics,Hard
A capacitor is charged by a battery and then disconnected. A dielectric is inserted. What happens to the stored energy?,It increases,It remains constant,It drops to zero,It decreases,D,Physics,Hard
Current density J in a conductor is related to the electric field E by J = sigma * E. What is sigma?,Resistivity,Conductivity,Permittivity,Permeability,B,Physics,Hard
The Hall effect can be used to determine?,The mass of an electron,The sign of the charge carriers in a conductor,The speed of light in a vacuum,The permeability of free space,B,Physics,Hard
An RL circuit has a time constant of 2 seconds. How long does it take for the current to reach 99% of its final value?,About 2 seconds,About 4 seconds,About 9 seconds,About 14 seconds,C,Physics,Hard
"In an LCR series circuit at resonance, the impedance is?",Infinite,Zero,Equal to the inductive reactance,Equal to the resistance,D,Physics,Hard
"A wave is described by y(x,t) = A sin(kx - wt). The wave velocity is given by?",k/w,kw,w/k,A/w,C,Physics,Hard
Two sound sources produce frequencies f1 and f2. A listener moving toward source 1 and away from source 2 will hear a beat frequency that is?,Unchanged from |f1-f2|,Smaller than |f1-f2|,Larger than |f1-f2| if approaching the higher frequency source,Zero,C,Physics,Hard
"A lensmaker's equation for a biconvex lens in air gives a focal length f. If submerged in water, its focal length will?",Decrease,Increase,Become negative,Remain the same,B,Physics,Hard
"In an X-ray tube, the minimum wavelength (cutoff) of the continuous spectrum depends only on?",The target material,The filament temperature,The accelerating voltage,The exposure time,C,Physics,Hard
"During Compton scattering, the maximum wavelength shift occurs at a scattering angle of?",0 degrees,90 degrees,45 degrees,180 degrees,D,Physics,Hard
Positron emission from a nucleus is always accompanied by the release of?,An electron,An alpha particle,A neutrino,An antineutrino,C,Physics,Hard
A proton and an alpha particle are accelerated through the same potential difference. The ratio of their de Broglie wavelengths (proton/alpha) is?,1,sqrt(2),2,2 * sqrt(2),D,Physics,Hard
A hollow cylinder and a solid cylinder of the same mass and radius roll down an incline. Which has the greater ratio of rotational to translational kinetic energy?,The hollow cylinder,The solid cylinder,They have the same ratio,Depends on the angle of the incline,A,Physics,Hard
"A block of mass m rests on a wedge of mass M, which rests on a frictionless table. All surfaces are frictionless. If the block is released, the wedge will?",Remain stationary,Move in the opposite direction to the block's horizontal motion,Move in the same direction as the block,Move vertically,B,Physics,Hard
A U-tube containing liquid is accelerated horizontally. The liquid level will?,Remain horizontal,Rise on the leading side,Rise on the trailing side,Oscillate continuously,C,Physics,Hard
